EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:19:45	0	0.0000	0.34983174	1.21941350	0.8486	0.6410	0.6909	0.6410
2	11:21:49	0	0.0000	0.28512931	0.78063367	0.8372	0.7863	0.8050	0.7863
3	11:23:57	0	0.0000	0.22410709	1.49401637	0.8599	0.6239	0.6753	0.6239
4	11:25:09	0	0.0000	0.18466094	0.52708778	0.8309	0.7949	0.8092	0.7949
5	11:27:22	0	0.0000	0.11072556	0.61189205	0.8530	0.8291	0.8386	0.8291
